Plaatsnaam	Bedrijfsnaam	Winkelnaam	Straatnaam	Huisnummer	Huisnummer toevoeging
					
Jemappes	Lidl	Jemappes	Avenue Wilson	415	
					
Dour	Lidl	Dour	Rue de la Grande Veine	187	
					
Fleurus	Lidl	Fleurus	Rue de Fleurjoux	12	
					
Châtelet	Lidl	Châtelet	Rue de Gilly	422	
					
Gerpinnes	Lidl	Gerpinnes	Chaussée de Philippeville	211	
					
Binche	Lidl	Binche	Route de Mons	261	
					
Comines	Lidl	Comines	Chaussée de Wervicq	345	
					
Gosselies (Charleroi)	Lidl	Gosselies	Avenue du Grand Vivier	18	
					
Charleroi	Lidl	Charleroi	Rue de Montigny	187	
					
Quaregnon	Lidl	Quaregnon	Route de Mons	79	
					
Chimay	Lidl	Chimay	Chaussée de Couvin	95	
					
Mouscron	Lidl	Mouscron - Rue de la Liesse	Rue de la Liesse	92	
					
Ath	Lidl	Ath-Chaussée de Mons	Chaussée de Mons	151	
					
Kortrijk	Lidl	Kortrijk	Sint-Sebastiaanslaan	1	
					
Lichtervelde	Lidl	Lichtervelde	Statiestraat	102	
					
Sijsele	Lidl	Sijsele	Dorpsstraat	179	
					
Diksmuide	Lidl	Diksmuide	Vaartstraat	6	
					
Sint-Michiels (Brugge)	Lidl	Sint-Michiels	Rijselstraat	136	
					
Oostkamp	Lidl	Oostkamp	Kortrijksestraat	51	b
					
Ieper	Lidl	Ieper	Rijselsepoort	5	
					
Oostende	Lidl	Oostende - Zandvoordestraat	Zandvoordestraat	29	
					
Oostende	Lidl	Oostende - Opex	Voorhavenlaan	79	
					
Poperinge	Lidl	Poperinge	Ieperse weg	8	A
					
Bredene	Lidl	Bredene	Kapelstraat	49	
					
Oostende	Lidl	Oostende - Elisabethlaan	Elisabethlaan	14	
					
Nieuwpoort	Lidl	Nieuwpoort	Albert I-laan	95	
					
Middelkerke	Lidl	Middelkerke	Papaverstraat	4	
					
Zedelgem	Lidl	Zedelgem	Torhoutsesteenweg	367	
					
Tielt	Lidl	Tielt	Bedevaartstraat	103	
					
Knokke-Heist	Lidl	Knokke-Heist	Knokkestraat	216	A
					
Sint-Andries (Brugge)	Lidl	Sint-Andries	Torhoutse Steenweg	190	
					
Roeselare	Lidl	Roeselare - Westlaan	Westlaan	269	
					
Waregem	Lidl	Waregem-Noorderlaan	Wijmeriestraat	9	
					
Koksijde	Lidl	Koksijde	R. Vandammestraat	45	
					
Wevelgem	Lidl	Wevelgem	Kortrijkstraat	331	
					
Kuurne	Lidl	Kuurne	Kleine Ringlaan	3	
					
Koekelare	Lidl	Koekelare	Oostmeetstraat	64	
					
Izegem	Lidl	Izegem	Krekelmotestraat	61	
